,updateDate,code,code_name
0,2020-12-28,sh.600006,东风汽车
1,2020-12-28,sh.600008,首创股份
2,2020-12-28,sh.600021,上海电力
3,2020-12-28,sh.600022,山东钢铁
4,2020-12-28,sh.600026,中远海能
5,2020-12-28,sh.600037,歌华有线
6,2020-12-28,sh.600038,中直股份
7,2020-12-28,sh.600039,四川路桥
8,2020-12-28,sh.600053,九鼎投资
9,2020-12-28,sh.600056,中国医药
10,2020-12-28,sh.600060,海信视像
11,2020-12-28,sh.600062,华润双鹤
12,2020-12-28,sh.600064,南京高科
13,2020-12-28,sh.600073,上海梅林
14,2020-12-28,sh.600079,人福医药
15,2020-12-28,sh.600089,特变电工
16,2020-12-28,sh.600094,大名城
17,2020-12-28,sh.600120,浙江东方
18,2020-12-28,sh.600126,杭钢股份
19,2020-12-28,sh.600131,国网信通
20,2020-12-28,sh.600132,重庆啤酒
21,2020-12-28,sh.600141,兴发集团
22,2020-12-28,sh.600143,金发科技
23,2020-12-28,sh.600153,建发股份
24,2020-12-28,sh.600155,华创阳安
25,2020-12-28,sh.600158,中体产业
26,2020-12-28,sh.600160,巨化股份
27,2020-12-28,sh.600166,福田汽车
28,2020-12-28,sh.600167,联美控股
29,2020-12-28,sh.600170,上海建工
30,2020-12-28,sh.600171,上海贝岭
31,2020-12-28,sh.600188,兖州煤业
32,2020-12-28,sh.600195,中牧股份
33,2020-12-28,sh.600201,生物股份
34,2020-12-28,sh.600216,浙江医药
35,2020-12-28,sh.600219,南山铝业
36,2020-12-28,sh.600256,广汇能源
37,2020-12-28,sh.600258,首旅酒店
38,2020-12-28,sh.600259,广晟有色
39,2020-12-28,sh.600260,凯乐科技
40,2020-12-28,sh.600266,城建发展
41,2020-12-28,sh.600273,嘉化能源
42,2020-12-28,sh.600277,亿利洁能
43,2020-12-28,sh.600282,南钢股份
44,2020-12-28,sh.600291,西水股份
45,2020-12-28,sh.600307,酒钢宏兴
46,2020-12-28,sh.600312,平高电气
47,2020-12-28,sh.600315,上海家化
48,2020-12-28,sh.600316,洪都航空
49,2020-12-28,sh.600325,华发股份
50,2020-12-28,sh.600329,中新药业
51,2020-12-28,sh.600338,西藏珠峰
52,2020-12-28,sh.600339,中油工程
53,2020-12-28,sh.600348,阳泉煤业
54,2020-12-28,sh.600350,山东高速
55,2020-12-28,sh.600372,中航电子
56,2020-12-28,sh.600373,中文传媒
57,2020-12-28,sh.600376,首开股份
58,2020-12-28,sh.600380,健康元
59,2020-12-28,sh.600388,龙净环保
60,2020-12-28,sh.600392,盛和资源
61,2020-12-28,sh.600398,海澜之家
62,2020-12-28,sh.600409,三友化工
63,2020-12-28,sh.600410,华胜天成
64,2020-12-28,sh.600415,小商品城
65,2020-12-28,sh.600418,江淮汽车
66,2020-12-28,sh.600426,华鲁恒升
67,2020-12-28,sh.600435,北方导航
68,2020-12-28,sh.600446,金证股份
69,2020-12-28,sh.600460,士兰微
70,2020-12-28,sh.600466,蓝光发展
71,2020-12-28,sh.600486,扬农化工
72,2020-12-28,sh.600497,驰宏锌锗
73,2020-12-28,sh.600500,中化国际
74,2020-12-28,sh.600507,方大特钢
75,2020-12-28,sh.600511,国药股份
76,2020-12-28,sh.600515,海航基础
77,2020-12-28,sh.600516,方大炭素
78,2020-12-28,sh.600517,国网英大
79,2020-12-28,sh.600528,中铁工业
80,2020-12-28,sh.600529,山东药玻
81,2020-12-28,sh.600535,天士力
82,2020-12-28,sh.600545,卓郎智能
83,2020-12-28,sh.600546,山煤国际
84,2020-12-28,sh.600549,厦门钨业
85,2020-12-28,sh.600556,天下秀
86,2020-12-28,sh.600563,法拉电子
87,2020-12-28,sh.600566,济川药业
88,2020-12-28,sh.600567,山鹰国际
89,2020-12-28,sh.600572,康恩贝
90,2020-12-28,sh.600575,淮河能源
91,2020-12-28,sh.600580,卧龙电驱
92,2020-12-28,sh.600582,天地科技
93,2020-12-28,sh.600597,光明乳业
94,2020-12-28,sh.600598,北大荒
95,2020-12-28,sh.600623,华谊集团
96,2020-12-28,sh.600633,浙数文化
97,2020-12-28,sh.600639,浦东金桥
98,2020-12-28,sh.600640,号百控股
99,2020-12-28,sh.600642,申能股份
100,2020-12-28,sh.600643,爱建集团
101,2020-12-28,sh.600645,中源协和
102,2020-12-28,sh.600648,外高桥
103,2020-12-28,sh.600649,城投控股
104,2020-12-28,sh.600657,信达地产
105,2020-12-28,sh.600664,哈药股份
106,2020-12-28,sh.600667,太极实业
107,2020-12-28,sh.600673,东阳光
108,2020-12-28,sh.600675,中华企业
109,2020-12-28,sh.600699,均胜电子
110,2020-12-28,sh.600704,物产中大
111,2020-12-28,sh.600707,彩虹股份
112,2020-12-28,sh.600717,天津港
113,2020-12-28,sh.600718,东软集团
114,2020-12-28,sh.600728,佳都科技
115,2020-12-28,sh.600729,重庆百货
116,2020-12-28,sh.600733,北汽蓝谷
117,2020-12-28,sh.600737,中粮糖业
118,2020-12-28,sh.600739,辽宁成大
119,2020-12-28,sh.600748,上实发展
120,2020-12-28,sh.600754,锦江酒店
121,2020-12-28,sh.600755,厦门国贸
122,2020-12-28,sh.600765,中航重机
123,2020-12-28,sh.600776,东方通信
124,2020-12-28,sh.600779,水井坊
125,2020-12-28,sh.600782,新钢股份
126,2020-12-28,sh.600787,中储股份
127,2020-12-28,sh.600801,华新水泥
128,2020-12-28,sh.600804,鹏博士
129,2020-12-28,sh.600808,马钢股份
130,2020-12-28,sh.600811,东方集团
131,2020-12-28,sh.600820,隧道股份
132,2020-12-28,sh.600823,世茂股份
133,2020-12-28,sh.600827,百联股份
